Inclusion data :
Temperature of total homogenization : 225 C
Pressure of total homogenization    : 24.0633 bar
Salinity                            : 9.07779 wt.% NaCl eq.
Density                             : 0.910206 g/ccm

Isochore data :
T [C]	P[bar]
225	24.0633
226	40.2556
227	55.9821
228	71.4874
229	86.8615
230	102.15
231	117.378
232	132.565
233	147.721
234	162.856
235	177.976
236	193.086
237	208.191
238	223.293
239	238.396
240	253.5
241	268.609
242	283.722
243	298.842
244	313.969
245	329.103
246	344.246
247	359.397
248	374.556
249	389.725
250	404.904
251	420.091
252	435.288
253	450.494
254	465.71
255	480.935
256	496.17
257	511.414
258	526.668
259	541.931
260	557.204
261	572.486
262	587.778
263	603.079
264	618.389
265	633.709
266	649.038
267	664.377
268	679.725
269	695.083
270	710.449
271	725.825
272	741.211
273	756.605
274	772.009
275	787.422
276	802.845
277	818.276
278	833.717
279	849.167
280	864.626
281	880.094
282	895.571
283	911.058
284	926.553
285	942.057
286	957.57
287	973.092
288	988.622
289	1004.16
290	1019.71
291	1035.27
292	1050.83
293	1066.41
294	1081.99
295	1097.58
296	1113.18
297	1128.79
298	1144.4
299	1160.03
300	1175.66
301	1191.3
302	1206.95
303	1222.61
304	1238.27
305	1253.94
306	1269.62
307	1285.31
308	1301.01
309	1316.71
310	1332.42
311	1348.14
312	1363.87
313	1379.6
314	1395.34
315	1411.09
316	1426.85
317	1442.61
318	1458.38
319	1474.15
320	1489.94
321	1505.73
322	1521.52
323	1537.33
324	1553.14
325	1568.95
326	1584.78
327	1600.61
328	1616.44
329	1632.29
330	1648.13
331	1663.99
332	1679.85
333	1695.71
334	1711.59
335	1727.46
336	1743.35
337	1759.24
338	1775.13
339	1791.03
340	1806.94
341	1822.85
342	1838.77
343	1854.69
344	1870.62
345	1886.55
346	1902.48
347	1918.42
348	1934.37
349	1950.32
350	1966.28
351	1982.24
352	1998.2
353	2014.17
354	2030.14
355	2046.12
356	2062.1
357	2078.09
358	2094.08
359	2110.07
360	2126.07
361	2142.07
362	2158.07
363	2174.08
364	2190.09
365	2206.11
366	2222.13
367	2238.15
368	2254.17
369	2270.2
370	2286.23
371	2302.27
372	2318.3
373	2334.34
374	2350.38
375	2366.43
376	2382.48
377	2398.53
378	2414.58
379	2430.63
380	2446.69
381	2462.75
382	2478.81
383	2494.87
384	2510.93
385	2527
386	2543.06
387	2559.13
388	2575.2
389	2591.28
390	2607.35
391	2623.42
392	2639.5
393	2655.58
394	2671.65
395	2687.73
396	2703.81
397	2719.89
398	2735.97
399	2752.06
400	2768.14
401	2784.22
402	2800.31
403	2816.39
404	2832.47
405	2848.56
406	2864.64
407	2880.72
408	2896.81
409	2912.89
410	2928.98
411	2945.06
412	2961.14
413	2977.22
414	2993.31
415	3009.39
416	3025.47
417	3041.55
418	3057.63
419	3073.71
420	3089.78
421	3105.86
422	3121.93
423	3138.01
424	3154.08
425	3170.15
426	3186.22
427	3202.29
428	3218.36
429	3234.42
430	3250.48
431	3266.55
432	3282.6
433	3298.66
434	3314.72
435	3330.77
436	3346.82
437	3362.87
438	3378.92
439	3394.96
440	3411.01
441	3427.05
442	3443.08
443	3459.12
444	3475.15
445	3491.18
446	3507.21
447	3523.23
448	3539.25
449	3555.27
450	3571.28
451	3587.29
452	3603.3
453	3619.31
454	3635.31
455	3651.31
456	3667.3
457	3683.29
458	3699.28
459	3715.26
460	3731.24
461	3747.22
462	3763.19
463	3779.16
464	3795.13
465	3811.09
466	3827.05
467	3843
468	3858.95
469	3874.89
470	3890.83
471	3906.77
472	3922.7
473	3938.63
474	3954.55
475	3970.47
476	3986.38
477	4002.29
478	4018.19
479	4034.09
480	4049.99
481	4065.88
482	4081.76
483	4097.64
484	4113.52
485	4129.39
486	4145.25
487	4161.11
488	4176.97
489	4192.81
490	4208.66
491	4224.5
492	4240.33
493	4256.16
494	4271.98
495	4287.79
496	4303.6
497	4319.41
498	4335.21
499	4351
500	4366.79
501	4382.57
502	4398.35
503	4414.12
504	4429.88
505	4445.64
506	4461.39
507	4477.14
508	4492.88
509	4508.61
510	4524.34
511	4540.06
512	4555.77
513	4571.48
514	4587.19
515	4602.88
516	4618.57
517	4634.25
518	4649.93
519	4665.6
520	4681.26
521	4696.92
522	4712.57
523	4728.21
524	4743.85
525	4759.48
526	4775.1
527	4790.72
528	4806.32
529	4821.93
530	4837.52
531	4853.11
532	4868.69
533	4884.26
534	4899.83
535	4915.39
536	4930.94
537	4946.49
538	4962.03
539	4977.56
540	4993.08
