Inclusion data :
Temperature of total homogenization : 219.8 C
Pressure of total homogenization    : 21.9374 bar
Salinity                            : 8.13915 wt.% NaCl eq.
Density                             : 0.90826 g/ccm

Isochore data :
T [C]	P[bar]
219.8	21.9374
220.8	38.2123
221.8	54.0264
222.8	69.6306
223.8	85.1126
224.8	100.515
225.8	115.864
226.8	131.174
227.8	146.458
228.8	161.723
229.8	176.976
230.8	192.221
231.8	207.462
232.8	222.703
233.8	237.945
234.8	253.191
235.8	268.443
236.8	283.701
237.8	298.967
238.8	314.241
239.8	329.525
240.8	344.818
241.8	360.121
242.8	375.435
243.8	390.759
244.8	406.094
245.8	421.439
246.8	436.795
247.8	452.162
248.8	467.539
249.8	482.927
250.8	498.325
251.8	513.734
252.8	529.153
253.8	544.583
254.8	560.023
255.8	575.473
256.8	590.933
257.8	606.403
258.8	621.883
259.8	637.373
260.8	652.872
261.8	668.382
262.8	683.901
263.8	699.43
264.8	714.969
265.8	730.517
266.8	746.074
267.8	761.641
268.8	777.218
269.8	792.804
270.8	808.399
271.8	824.003
272.8	839.617
273.8	855.24
274.8	870.872
275.8	886.513
276.8	902.162
277.8	917.821
278.8	933.489
279.8	949.166
280.8	964.851
281.8	980.545
282.8	996.248
283.8	1011.96
284.8	1027.68
285.8	1043.41
286.8	1059.14
287.8	1074.89
288.8	1090.64
289.8	1106.4
290.8	1122.17
291.8	1137.95
292.8	1153.74
293.8	1169.53
294.8	1185.33
295.8	1201.14
296.8	1216.96
297.8	1232.78
298.8	1248.62
299.8	1264.46
300.8	1280.3
301.8	1296.16
302.8	1312.02
303.8	1327.89
304.8	1343.76
305.8	1359.65
306.8	1375.54
307.8	1391.43
308.8	1407.34
309.8	1423.25
310.8	1439.17
311.8	1455.09
312.8	1471.02
313.8	1486.96
314.8	1502.9
315.8	1518.85
316.8	1534.8
317.8	1550.77
318.8	1566.73
319.8	1582.71
320.8	1598.69
321.8	1614.67
322.8	1630.66
323.8	1646.66
324.8	1662.66
325.8	1678.67
326.8	1694.68
327.8	1710.7
328.8	1726.72
329.8	1742.75
330.8	1758.79
331.8	1774.83
332.8	1790.87
333.8	1806.92
334.8	1822.97
335.8	1839.03
336.8	1855.09
337.8	1871.16
338.8	1887.23
339.8	1903.3
340.8	1919.38
341.8	1935.46
342.8	1951.55
343.8	1967.64
344.8	1983.74
345.8	1999.84
346.8	2015.94
347.8	2032.05
348.8	2048.16
349.8	2064.27
350.8	2080.39
351.8	2096.51
352.8	2112.63
353.8	2128.76
354.8	2144.88
355.8	2161.02
356.8	2177.15
357.8	2193.29
358.8	2209.43
359.8	2225.57
360.8	2241.72
361.8	2257.87
362.8	2274.02
363.8	2290.17
364.8	2306.32
365.8	2322.48
366.8	2338.64
367.8	2354.8
368.8	2370.96
369.8	2387.12
370.8	2403.29
371.8	2419.46
372.8	2435.63
373.8	2451.8
374.8	2467.97
375.8	2484.14
376.8	2500.31
377.8	2516.49
378.8	2532.67
379.8	2548.84
380.8	2565.02
381.8	2581.2
382.8	2597.38
383.8	2613.56
384.8	2629.74
385.8	2645.92
386.8	2662.1
387.8	2678.28
388.8	2694.46
389.8	2710.64
390.8	2726.82
391.8	2743.01
392.8	2759.19
393.8	2775.37
394.8	2791.55
395.8	2807.73
396.8	2823.91
397.8	2840.09
398.8	2856.27
399.8	2872.44
400.8	2888.62
401.8	2904.8
402.8	2920.97
403.8	2937.15
404.8	2953.32
405.8	2969.49
406.8	2985.66
407.8	3001.83
408.8	3018
409.8	3034.17
410.8	3050.33
411.8	3066.5
412.8	3082.66
413.8	3098.82
414.8	3114.98
415.8	3131.14
416.8	3147.29
417.8	3163.44
418.8	3179.59
419.8	3195.74
420.8	3211.89
421.8	3228.03
422.8	3244.17
423.8	3260.31
424.8	3276.45
425.8	3292.58
426.8	3308.72
427.8	3324.84
428.8	3340.97
429.8	3357.09
430.8	3373.21
431.8	3389.33
432.8	3405.44
433.8	3421.55
434.8	3437.66
435.8	3453.77
436.8	3469.87
437.8	3485.97
438.8	3502.06
439.8	3518.15
440.8	3534.24
441.8	3550.32
442.8	3566.4
443.8	3582.48
444.8	3598.55
445.8	3614.62
446.8	3630.68
447.8	3646.74
448.8	3662.8
449.8	3678.85
450.8	3694.9
451.8	3710.94
452.8	3726.98
453.8	3743.02
454.8	3759.05
455.8	3775.08
456.8	3791.1
457.8	3807.11
458.8	3823.13
459.8	3839.14
460.8	3855.14
461.8	3871.14
462.8	3887.13
463.8	3903.12
464.8	3919.1
465.8	3935.08
466.8	3951.06
467.8	3967.02
468.8	3982.99
469.8	3998.95
470.8	4014.9
471.8	4030.85
472.8	4046.79
473.8	4062.73
474.8	4078.66
475.8	4094.58
476.8	4110.5
477.8	4126.42
478.8	4142.33
479.8	4158.23
480.8	4174.13
481.8	4190.02
482.8	4205.9
483.8	4221.78
484.8	4237.66
485.8	4253.53
486.8	4269.39
487.8	4285.25
488.8	4301.1
489.8	4316.94
490.8	4332.78
491.8	4348.61
492.8	4364.43
493.8	4380.25
494.8	4396.06
495.8	4411.87
496.8	4427.67
497.8	4443.46
498.8	4459.25
499.8	4475.03
500.8	4490.8
501.8	4506.57
502.8	4522.33
503.8	4538.08
504.8	4553.83
505.8	4569.57
506.8	4585.3
507.8	4601.03
508.8	4616.75
509.8	4632.46
510.8	4648.16
511.8	4663.86
512.8	4679.55
513.8	4695.24
514.8	4710.92
515.8	4726.59
516.8	4742.25
517.8	4757.9
518.8	4773.55
519.8	4789.19
520.8	4804.83
521.8	4820.45
522.8	4836.07
523.8	4851.68
524.8	4867.29
525.8	4882.89
526.8	4898.47
527.8	4914.06
528.8	4929.63
529.8	4945.2
530.8	4960.76
531.8	4976.31
532.8	4991.85
