Inclusion data :
Temperature of total homogenization : 190 C
Pressure of total homogenization    : 11.7171 bar
Salinity                            : 9.72758 wt.% NaCl eq.
Density                             : 0.951788 g/ccm

Isochore data :
T [C]	P[bar]
190	11.7171
191	30.1554
192	47.1241
193	63.6772
194	80.0229
195	96.2475
196	112.397
197	128.501
198	144.578
199	160.641
200	176.701
201	192.766
202	208.839
203	224.927
204	241.031
205	257.154
206	273.297
207	289.461
208	305.647
209	321.855
210	338.085
211	354.337
212	370.609
213	386.902
214	403.215
215	419.548
216	435.899
217	452.269
218	468.657
219	485.062
220	501.485
221	517.923
222	534.378
223	550.849
224	567.335
225	583.836
226	600.353
227	616.884
228	633.429
229	649.99
230	666.564
231	683.153
232	699.756
233	716.372
234	733.003
235	749.647
236	766.306
237	782.977
238	799.663
239	816.362
240	833.075
241	849.801
242	866.54
243	883.293
244	900.059
245	916.838
246	933.631
247	950.437
248	967.255
249	984.087
250	1000.93
251	1017.79
252	1034.66
253	1051.54
254	1068.44
255	1085.35
256	1102.27
257	1119.2
258	1136.15
259	1153.11
260	1170.08
261	1187.06
262	1204.05
263	1221.06
264	1238.08
265	1255.11
266	1272.15
267	1289.21
268	1306.27
269	1323.35
270	1340.44
271	1357.54
272	1374.65
273	1391.78
274	1408.91
275	1426.06
276	1443.21
277	1460.38
278	1477.56
279	1494.75
280	1511.95
281	1529.16
282	1546.38
283	1563.61
284	1580.85
285	1598.1
286	1615.36
287	1632.63
288	1649.91
289	1667.2
290	1684.5
291	1701.81
292	1719.13
293	1736.46
294	1753.8
295	1771.14
296	1788.5
297	1805.87
298	1823.24
299	1840.62
300	1858.01
301	1875.41
302	1892.82
303	1910.24
304	1927.66
305	1945.1
306	1962.54
307	1979.99
308	1997.44
309	2014.91
310	2032.38
311	2049.86
312	2067.35
313	2084.84
314	2102.34
315	2119.85
316	2137.37
317	2154.89
318	2172.42
319	2189.95
320	2207.5
321	2225.05
322	2242.6
323	2260.16
324	2277.73
325	2295.3
326	2312.88
327	2330.47
328	2348.06
329	2365.65
330	2383.26
331	2400.86
332	2418.47
333	2436.09
334	2453.71
335	2471.34
336	2488.97
337	2506.61
338	2524.25
339	2541.9
340	2559.55
341	2577.2
342	2594.86
343	2612.52
344	2630.19
345	2647.86
346	2665.53
347	2683.21
348	2700.89
349	2718.58
350	2736.26
351	2753.95
352	2771.65
353	2789.34
354	2807.04
355	2824.75
356	2842.45
357	2860.16
358	2877.87
359	2895.58
360	2913.29
361	2931.01
362	2948.73
363	2966.45
364	2984.17
365	3001.89
366	3019.62
367	3037.34
368	3055.07
369	3072.8
370	3090.53
371	3108.26
372	3125.99
373	3143.72
374	3161.46
375	3179.19
376	3196.93
377	3214.66
378	3232.4
379	3250.13
380	3267.87
381	3285.6
382	3303.34
383	3321.07
384	3338.81
385	3356.54
386	3374.27
387	3392.01
388	3409.74
389	3427.47
390	3445.2
391	3462.93
392	3480.66
393	3498.39
394	3516.11
395	3533.84
396	3551.56
397	3569.28
398	3587
399	3604.72
400	3622.44
401	3640.15
402	3657.87
403	3675.58
404	3693.29
405	3710.99
406	3728.7
407	3746.4
408	3764.1
409	3781.79
410	3799.48
411	3817.18
412	3834.86
413	3852.55
414	3870.23
415	3887.91
416	3905.58
417	3923.25
418	3940.92
419	3958.59
420	3976.25
421	3993.91
422	4011.56
423	4029.21
424	4046.86
425	4064.5
426	4082.14
427	4099.77
428	4117.4
429	4135.03
430	4152.65
431	4170.27
432	4187.88
433	4205.49
434	4223.09
435	4240.69
436	4258.28
437	4275.87
438	4293.45
439	4311.03
440	4328.61
441	4346.18
442	4363.74
443	4381.3
444	4398.85
445	4416.4
446	4433.94
447	4451.48
448	4469.01
449	4486.53
450	4504.05
451	4521.56
452	4539.07
453	4556.57
454	4574.07
455	4591.56
456	4609.04
457	4626.52
458	4643.99
459	4661.45
460	4678.91
461	4696.36
462	4713.81
463	4731.25
464	4748.68
465	4766.1
466	4783.52
467	4800.93
468	4818.34
469	4835.74
470	4853.13
471	4870.51
472	4887.89
473	4905.26
474	4922.62
475	4939.98
476	4957.32
477	4974.66
478	4992
