Inclusion data :
Temperature of total homogenization : 260.5 C
Pressure of total homogenization    : 45.2307 bar
Salinity                            : 7.86463 wt.% NaCl eq.
Density                             : 0.857087 g/ccm

Isochore data :
T [C]	P[bar]
260.5	45.2307
261.5	59.0936
262.5	72.8467
263.5	86.5295
264.5	100.164
265.5	113.765
266.5	127.341
267.5	140.899
268.5	154.444
269.5	167.979
270.5	181.508
271.5	195.034
272.5	208.557
273.5	222.08
274.5	235.604
275.5	249.129
276.5	262.658
277.5	276.19
278.5	289.727
279.5	303.268
280.5	316.815
281.5	330.367
282.5	343.926
283.5	357.491
284.5	371.062
285.5	384.64
286.5	398.225
287.5	411.816
288.5	425.415
289.5	439.021
290.5	452.635
291.5	466.255
292.5	479.883
293.5	493.518
294.5	507.161
295.5	520.811
296.5	534.468
297.5	548.133
298.5	561.805
299.5	575.485
300.5	589.171
301.5	602.865
302.5	616.567
303.5	630.275
304.5	643.991
305.5	657.714
306.5	671.445
307.5	685.182
308.5	698.927
309.5	712.678
310.5	726.437
311.5	740.202
312.5	753.975
313.5	767.755
314.5	781.541
315.5	795.334
316.5	809.134
317.5	822.941
318.5	836.754
319.5	850.574
320.5	864.401
321.5	878.234
322.5	892.074
323.5	905.92
324.5	919.773
325.5	933.632
326.5	947.497
327.5	961.368
328.5	975.246
329.5	989.13
330.5	1003.02
331.5	1016.92
332.5	1030.82
333.5	1044.72
334.5	1058.64
335.5	1072.56
336.5	1086.48
337.5	1100.41
338.5	1114.35
339.5	1128.29
340.5	1142.24
341.5	1156.19
342.5	1170.15
343.5	1184.11
344.5	1198.08
345.5	1212.06
346.5	1226.04
347.5	1240.02
348.5	1254.01
349.5	1268
350.5	1282
351.5	1296.01
352.5	1310.02
353.5	1324.03
354.5	1338.05
355.5	1352.07
356.5	1366.1
357.5	1380.13
358.5	1394.17
359.5	1408.21
360.5	1422.25
361.5	1436.3
362.5	1450.35
363.5	1464.41
364.5	1478.47
365.5	1492.54
366.5	1506.61
367.5	1520.68
368.5	1534.76
369.5	1548.84
370.5	1562.92
371.5	1577.01
372.5	1591.1
373.5	1605.2
374.5	1619.29
375.5	1633.4
376.5	1647.5
377.5	1661.61
378.5	1675.72
379.5	1689.84
380.5	1703.95
381.5	1718.07
382.5	1732.2
383.5	1746.32
384.5	1760.45
385.5	1774.59
386.5	1788.72
387.5	1802.86
388.5	1817
389.5	1831.14
390.5	1845.29
391.5	1859.43
392.5	1873.58
393.5	1887.73
394.5	1901.89
395.5	1916.04
396.5	1930.2
397.5	1944.36
398.5	1958.52
399.5	1972.69
400.5	1986.85
401.5	2001.02
402.5	2015.19
403.5	2029.36
404.5	2043.53
405.5	2057.71
406.5	2071.88
407.5	2086.06
408.5	2100.23
409.5	2114.41
410.5	2128.59
411.5	2142.78
412.5	2156.96
