Inclusion data :
Temperature of total homogenization : 163.7 C
Pressure of total homogenization    : 6.40204 bar
Salinity                            : 8.00224 wt.% NaCl eq.
Density                             : 0.963142 g/ccm

Isochore data :
T [C]	P[bar]
163.7	6.40204
164.7	25.3366
165.7	42.1882
166.7	58.6506
167.7	74.9348
168.7	91.1232
169.7	107.259
170.7	123.371
171.7	139.477
172.7	155.59
173.7	171.722
174.7	187.88
175.7	204.071
176.7	220.299
177.7	236.569
178.7	252.882
179.7	269.24
180.7	285.645
181.7	302.096
182.7	318.595
183.7	335.139
184.7	351.729
185.7	368.363
186.7	385.041
187.7	401.759
188.7	418.518
189.7	435.316
190.7	452.15
191.7	469.02
192.7	485.923
193.7	502.859
194.7	519.826
195.7	536.823
196.7	553.848
197.7	570.901
198.7	587.98
199.7	605.084
200.7	622.213
201.7	639.365
202.7	656.541
203.7	673.738
204.7	690.958
205.7	708.199
206.7	725.46
207.7	742.741
208.7	760.043
209.7	777.364
210.7	794.704
211.7	812.063
212.7	829.44
213.7	846.836
214.7	864.25
215.7	881.681
216.7	899.131
217.7	916.597
218.7	934.081
219.7	951.582
220.7	969.1
221.7	986.634
222.7	1004.19
223.7	1021.75
224.7	1039.34
225.7	1056.94
226.7	1074.55
227.7	1092.18
228.7	1109.83
229.7	1127.49
230.7	1145.17
231.7	1162.86
232.7	1180.57
233.7	1198.29
234.7	1216.03
235.7	1233.78
236.7	1251.55
237.7	1269.33
238.7	1287.12
239.7	1304.93
240.7	1322.75
241.7	1340.59
242.7	1358.44
243.7	1376.3
244.7	1394.18
245.7	1412.06
246.7	1429.97
247.7	1447.88
248.7	1465.81
249.7	1483.75
250.7	1501.7
251.7	1519.67
252.7	1537.64
253.7	1555.63
254.7	1573.63
255.7	1591.64
256.7	1609.67
257.7	1627.7
258.7	1645.75
259.7	1663.81
260.7	1681.87
261.7	1699.95
262.7	1718.04
263.7	1736.14
264.7	1754.25
265.7	1772.37
266.7	1790.5
267.7	1808.64
268.7	1826.79
269.7	1844.95
270.7	1863.12
271.7	1881.3
272.7	1899.49
273.7	1917.69
274.7	1935.89
275.7	1954.11
276.7	1972.33
277.7	1990.56
278.7	2008.8
279.7	2027.05
280.7	2045.31
281.7	2063.57
282.7	2081.84
283.7	2100.12
284.7	2118.41
285.7	2136.7
286.7	2155.01
287.7	2173.31
288.7	2191.63
289.7	2209.95
290.7	2228.28
291.7	2246.62
292.7	2264.96
293.7	2283.31
294.7	2301.66
295.7	2320.02
296.7	2338.39
297.7	2356.76
298.7	2375.14
299.7	2393.52
300.7	2411.91
301.7	2430.3
302.7	2448.7
303.7	2467.1
304.7	2485.51
305.7	2503.92
306.7	2522.33
307.7	2540.76
308.7	2559.18
309.7	2577.61
310.7	2596.04
311.7	2614.48
312.7	2632.92
313.7	2651.36
314.7	2669.81
315.7	2688.26
316.7	2706.71
317.7	2725.17
318.7	2743.63
319.7	2762.09
320.7	2780.56
321.7	2799.03
322.7	2817.49
323.7	2835.97
324.7	2854.44
325.7	2872.92
326.7	2891.39
327.7	2909.87
328.7	2928.36
329.7	2946.84
330.7	2965.32
331.7	2983.81
332.7	3002.29
333.7	3020.78
334.7	3039.27
335.7	3057.76
336.7	3076.25
337.7	3094.74
338.7	3113.23
339.7	3131.72
340.7	3150.21
341.7	3168.7
342.7	3187.19
343.7	3205.68
344.7	3224.17
345.7	3242.66
346.7	3261.15
347.7	3279.64
348.7	3298.13
349.7	3316.61
350.7	3335.1
351.7	3353.59
352.7	3372.07
353.7	3390.55
354.7	3409.03
355.7	3427.51
356.7	3445.99
357.7	3464.47
358.7	3482.94
359.7	3501.41
360.7	3519.88
361.7	3538.35
362.7	3556.82
363.7	3575.28
364.7	3593.74
365.7	3612.2
366.7	3630.66
367.7	3649.11
368.7	3667.56
369.7	3686.01
370.7	3704.45
371.7	3722.89
372.7	3741.33
373.7	3759.76
374.7	3778.19
375.7	3796.62
376.7	3815.04
377.7	3833.46
378.7	3851.88
379.7	3870.29
380.7	3888.7
381.7	3907.1
382.7	3925.5
383.7	3943.9
384.7	3962.29
385.7	3980.68
386.7	3999.06
387.7	4017.44
388.7	4035.81
389.7	4054.18
390.7	4072.54
391.7	4090.9
392.7	4109.25
393.7	4127.6
394.7	4145.94
395.7	4164.28
396.7	4182.61
397.7	4200.94
398.7	4219.26
399.7	4237.58
400.7	4255.89
401.7	4274.19
402.7	4292.49
403.7	4310.78
404.7	4329.07
405.7	4347.35
406.7	4365.62
407.7	4383.89
408.7	4402.15
409.7	4420.41
410.7	4438.66
411.7	4456.9
412.7	4475.14
413.7	4493.36
414.7	4511.59
415.7	4529.8
416.7	4548.01
417.7	4566.21
418.7	4584.41
419.7	4602.6
420.7	4620.78
421.7	4638.95
422.7	4657.12
423.7	4675.28
424.7	4693.43
425.7	4711.57
426.7	4729.71
427.7	4747.84
428.7	4765.96
429.7	4784.08
430.7	4802.18
431.7	4820.28
432.7	4838.37
433.7	4856.46
434.7	4874.53
435.7	4892.6
436.7	4910.66
437.7	4928.71
438.7	4946.75
439.7	4964.79
440.7	4982.81
