Inclusion data :
Temperature of total homogenization : 196 C
Pressure of total homogenization    : 13.258 bar
Salinity                            : 10.6092 wt.% NaCl eq.
Density                             : 0.952856 g/ccm

Isochore data :
T [C]	P[bar]
196	13.258
197	31.6781
198	48.6565
199	65.2004
200	81.5244
201	97.7189
202	113.832
203	129.895
204	145.926
205	161.94
206	177.946
207	193.953
208	209.965
209	225.986
210	242.019
211	258.067
212	274.13
213	290.209
214	306.305
215	322.418
216	338.548
217	354.695
218	370.859
219	387.038
220	403.234
221	419.446
222	435.672
223	451.914
224	468.17
225	484.44
226	500.725
227	517.023
228	533.335
229	549.661
230	566
231	582.353
232	598.719
233	615.098
234	631.49
235	647.895
236	664.313
237	680.744
238	697.188
239	713.645
240	730.115
241	746.598
242	763.094
243	779.603
244	796.125
245	812.659
246	829.207
247	845.767
248	862.341
249	878.927
250	895.526
251	912.137
252	928.762
253	945.399
254	962.049
255	978.712
256	995.387
257	1012.08
258	1028.78
259	1045.49
260	1062.21
261	1078.95
262	1095.7
263	1112.47
264	1129.24
265	1146.03
266	1162.83
267	1179.64
268	1196.46
269	1213.3
270	1230.15
271	1247.01
272	1263.88
273	1280.76
274	1297.66
275	1314.57
276	1331.48
277	1348.41
278	1365.36
279	1382.31
280	1399.27
281	1416.25
282	1433.24
283	1450.23
284	1467.24
285	1484.26
286	1501.29
287	1518.33
288	1535.39
289	1552.45
290	1569.52
291	1586.61
292	1603.7
293	1620.81
294	1637.92
295	1655.05
296	1672.18
297	1689.33
298	1706.48
299	1723.64
300	1740.82
301	1758
302	1775.2
303	1792.4
304	1809.61
305	1826.83
306	1844.07
307	1861.31
308	1878.55
309	1895.81
310	1913.08
311	1930.35
312	1947.64
313	1964.93
314	1982.23
315	1999.54
316	2016.86
317	2034.18
318	2051.52
319	2068.86
320	2086.21
321	2103.56
322	2120.93
323	2138.3
324	2155.68
325	2173.07
326	2190.46
327	2207.86
328	2225.27
329	2242.69
330	2260.11
331	2277.54
332	2294.97
333	2312.42
334	2329.86
335	2347.32
336	2364.78
337	2382.25
338	2399.72
339	2417.2
340	2434.68
341	2452.17
342	2469.67
343	2487.17
344	2504.68
345	2522.19
346	2539.71
347	2557.23
348	2574.75
349	2592.29
350	2609.82
351	2627.36
352	2644.91
353	2662.46
354	2680.01
355	2697.57
356	2715.13
357	2732.7
358	2750.27
359	2767.84
360	2785.42
361	2803
362	2820.59
363	2838.18
364	2855.77
365	2873.36
366	2890.96
367	2908.56
368	2926.16
369	2943.77
370	2961.38
371	2978.99
372	2996.6
373	3014.22
374	3031.84
375	3049.46
376	3067.08
377	3084.7
378	3102.33
379	3119.95
380	3137.58
381	3155.21
382	3172.84
383	3190.48
384	3208.11
385	3225.75
386	3243.38
387	3261.02
388	3278.66
389	3296.29
390	3313.93
391	3331.57
392	3349.21
393	3366.85
394	3384.49
395	3402.13
396	3419.77
397	3437.41
398	3455.05
399	3472.69
400	3490.33
401	3507.96
402	3525.6
403	3543.24
404	3560.87
405	3578.51
406	3596.14
407	3613.78
408	3631.41
409	3649.04
410	3666.67
411	3684.29
412	3701.92
413	3719.54
414	3737.17
415	3754.79
416	3772.41
417	3790.02
418	3807.64
419	3825.25
420	3842.86
421	3860.47
422	3878.07
423	3895.68
424	3913.28
425	3930.87
426	3948.47
427	3966.06
428	3983.65
429	4001.23
430	4018.82
431	4036.4
432	4053.97
433	4071.54
434	4089.11
435	4106.68
436	4124.24
437	4141.8
438	4159.36
439	4176.91
440	4194.45
441	4212
442	4229.53
443	4247.07
444	4264.6
445	4282.13
446	4299.65
447	4317.16
448	4334.68
449	4352.18
450	4369.69
451	4387.19
452	4404.68
453	4422.17
454	4439.65
455	4457.13
456	4474.61
457	4492.07
458	4509.54
459	4527
460	4544.45
461	4561.9
462	4579.34
463	4596.77
464	4614.2
465	4631.63
466	4649.05
467	4666.46
468	4683.87
469	4701.27
470	4718.67
471	4736.06
472	4753.44
473	4770.82
474	4788.19
475	4805.55
476	4822.91
477	4840.26
478	4857.61
479	4874.94
480	4892.28
481	4909.6
482	4926.92
483	4944.23
484	4961.54
485	4978.83
486	4996.13
