Inclusion data :
Temperature of total homogenization : 270 C
Pressure of total homogenization    : 51.9039 bar
Salinity                            : 10.1094 wt.% NaCl eq.
Density                             : 0.865035 g/ccm

Isochore data :
T [C]	P[bar]
270	51.9039
271	65.56
272	79.0964
273	92.5524
274	105.951
275	119.308
276	132.634
277	145.936
278	159.22
279	172.49
280	185.75
281	199.002
282	212.25
283	225.494
284	238.737
285	251.979
286	265.222
287	278.467
288	291.714
289	304.964
290	318.218
291	331.475
292	344.738
293	358.005
294	371.277
295	384.555
296	397.838
297	411.127
298	424.423
299	437.724
300	451.032
301	464.347
302	477.668
303	490.995
304	504.33
305	517.671
306	531.019
307	544.375
308	557.737
309	571.106
310	584.482
311	597.866
312	611.256
313	624.654
314	638.059
315	651.471
316	664.891
317	678.318
318	691.752
319	705.193
320	718.641
321	732.097
322	745.56
323	759.03
324	772.507
325	785.992
326	799.483
327	812.982
328	826.488
329	840.001
330	853.522
331	867.049
332	880.583
333	894.125
334	907.673
335	921.229
336	934.791
337	948.36
338	961.936
339	975.519
340	989.109
341	1002.71
342	1016.31
343	1029.92
344	1043.54
345	1057.16
346	1070.79
347	1084.43
348	1098.07
349	1111.72
350	1125.37
351	1139.04
352	1152.71
353	1166.38
354	1180.06
355	1193.75
356	1207.44
357	1221.14
358	1234.85
359	1248.56
360	1262.28
361	1276
362	1289.73
363	1303.47
364	1317.21
365	1330.96
366	1344.71
367	1358.47
368	1372.24
369	1386.01
370	1399.78
371	1413.56
372	1427.35
373	1441.14
374	1454.94
375	1468.74
376	1482.55
377	1496.36
378	1510.18
379	1524.01
380	1537.83
381	1551.67
382	1565.51
383	1579.35
384	1593.2
385	1607.05
386	1620.91
387	1634.77
388	1648.64
389	1662.51
390	1676.38
391	1690.26
392	1704.15
393	1718.04
394	1731.93
395	1745.83
396	1759.73
397	1773.64
398	1787.55
399	1801.46
400	1815.38
401	1829.3
402	1843.23
403	1857.16
404	1871.09
405	1885.03
406	1898.97
407	1912.91
408	1926.86
409	1940.81
410	1954.76
411	1968.72
412	1982.68
413	1996.65
414	2010.61
415	2024.59
416	2038.56
417	2052.54
418	2066.52
419	2080.5
420	2094.48
421	2108.47
422	2122.46
423	2136.46
424	2150.45
425	2164.45
426	2178.45
427	2192.46
428	2206.46
429	2220.47
430	2234.48
431	2248.49
432	2262.51
433	2276.53
434	2290.54
435	2304.57
436	2318.59
437	2332.61
438	2346.64
439	2360.67
440	2374.7
441	2388.73
442	2402.76
443	2416.8
444	2430.83
445	2444.87
446	2458.91
447	2472.95
448	2486.99
449	2501.03
450	2515.08
451	2529.12
452	2543.17
453	2557.21
454	2571.26
455	2585.31
456	2599.36
457	2613.41
458	2627.46
459	2641.51
460	2655.56
461	2669.61
462	2683.66
463	2697.71
464	2711.77
465	2725.82
466	2739.87
467	2753.93
468	2767.98
469	2782.03
470	2796.09
471	2810.14
472	2824.19
473	2838.25
474	2852.3
475	2866.35
476	2880.4
477	2894.46
478	2908.51
479	2922.56
480	2936.61
481	2950.66
482	2964.71
483	2978.76
484	2992.8
485	3006.85
486	3020.89
487	3034.94
488	3048.98
489	3063.03
490	3077.07
491	3091.11
492	3105.15
493	3119.18
494	3133.22
495	3147.26
496	3161.29
497	3175.32
498	3189.35
499	3203.38
500	3217.41
501	3231.44
502	3245.46
503	3259.48
504	3273.5
505	3287.52
506	3301.54
507	3315.56
508	3329.57
509	3343.58
510	3357.59
511	3371.6
512	3385.6
513	3399.6
514	3413.6
515	3427.6
516	3441.6
517	3455.59
518	3469.58
519	3483.57
520	3497.55
521	3511.53
522	3525.51
523	3539.49
524	3553.47
525	3567.44
526	3581.41
527	3595.37
528	3609.34
529	3623.3
530	3637.25
531	3651.21
532	3665.16
533	3679.11
534	3693.05
535	3706.99
536	3720.93
537	3734.87
538	3748.8
539	3762.73
540	3776.65
541	3790.57
542	3804.49
543	3818.41
544	3832.32
545	3846.23
546	3860.13
547	3874.03
548	3887.92
549	3901.82
550	3915.71
551	3929.59
552	3943.47
553	3957.35
554	3971.22
555	3985.09
556	3998.96
557	4012.82
558	4026.67
559	4040.53
560	4054.37
561	4068.22
562	4082.06
563	4095.89
564	4109.73
565	4123.55
566	4137.38
567	4151.19
568	4165.01
569	4178.82
570	4192.62
571	4206.42
572	4220.22
573	4234.01
574	4247.79
575	4261.58
576	4275.35
577	4289.13
578	4302.89
579	4316.66
580	4330.41
581	4344.17
582	4357.92
583	4371.66
584	4385.4
585	4399.13
586	4412.86
587	4426.58
588	4440.3
589	4454.01
590	4467.72
591	4481.42
592	4495.12
593	4508.82
594	4522.5
595	4536.18
596	4549.86
597	4563.53
598	4577.2
599	4590.86
600	4604.52
601	4618.17
602	4631.81
603	4645.45
604	4659.08
605	4672.71
606	4686.33
607	4699.95
608	4713.56
609	4727.17
610	4740.77
611	4754.36
612	4767.95
613	4781.54
614	4795.11
615	4808.68
616	4822.25
617	4835.81
618	4849.37
619	4862.91
620	4876.46
621	4889.99
622	4903.53
623	4917.05
624	4930.57
625	4944.08
626	4957.59
627	4971.09
628	4984.59
629	4998.08
