Inclusion data :
Temperature of total homogenization : 299.8 C
Pressure of total homogenization    : 81.2081 bar
Salinity                            : 9.59898 wt.% NaCl eq.
Density                             : 0.818924 g/ccm

Isochore data :
T [C]	P[bar]
299.8	81.2081
300.8	92.9858
301.8	104.733
302.8	116.457
303.8	128.165
304.8	139.861
305.8	151.548
306.8	163.229
307.8	174.906
308.8	186.58
309.8	198.254
310.8	209.928
311.8	221.604
312.8	233.281
313.8	244.962
314.8	256.646
315.8	268.334
316.8	280.027
317.8	291.724
318.8	303.426
319.8	315.134
320.8	326.848
321.8	338.568
322.8	350.293
323.8	362.025
324.8	373.763
325.8	385.508
326.8	397.259
327.8	409.016
328.8	420.781
329.8	432.552
330.8	444.33
331.8	456.115
332.8	467.906
333.8	479.705
334.8	491.51
335.8	503.323
336.8	515.142
337.8	526.968
338.8	538.801
339.8	550.641
340.8	562.488
341.8	574.342
342.8	586.203
343.8	598.07
344.8	609.944
345.8	621.825
346.8	633.713
347.8	645.608
348.8	657.509
349.8	669.417
350.8	681.332
351.8	693.254
352.8	705.181
353.8	717.116
354.8	729.057
355.8	741.005
356.8	752.959
357.8	764.919
358.8	776.886
359.8	788.859
360.8	800.838
361.8	812.824
362.8	824.816
363.8	836.814
364.8	848.818
365.8	860.829
366.8	872.845
367.8	884.867
368.8	896.896
369.8	908.93
370.8	920.97
371.8	933.016
372.8	945.068
373.8	957.125
374.8	969.188
375.8	981.257
376.8	993.332
377.8	1005.41
378.8	1017.5
379.8	1029.59
380.8	1041.68
381.8	1053.79
382.8	1065.89
383.8	1078.01
384.8	1090.12
385.8	1102.25
386.8	1114.37
387.8	1126.51
388.8	1138.65
389.8	1150.79
390.8	1162.94
391.8	1175.09
392.8	1187.25
393.8	1199.41
394.8	1211.58
395.8	1223.75
396.8	1235.93
397.8	1248.11
398.8	1260.29
399.8	1272.48
400.8	1284.68
401.8	1296.88
402.8	1309.08
403.8	1321.29
404.8	1333.5
405.8	1345.72
406.8	1357.94
407.8	1370.17
408.8	1382.4
409.8	1394.63
410.8	1406.87
411.8	1419.11
412.8	1431.36
413.8	1443.61
414.8	1455.86
415.8	1468.12
416.8	1480.38
417.8	1492.64
418.8	1504.91
419.8	1517.18
420.8	1529.46
421.8	1541.74
422.8	1554.02
423.8	1566.3
424.8	1578.59
425.8	1590.88
426.8	1603.18
427.8	1615.48
428.8	1627.78
429.8	1640.09
430.8	1652.4
431.8	1664.71
432.8	1677.02
433.8	1689.34
434.8	1701.66
435.8	1713.98
436.8	1726.31
437.8	1738.64
438.8	1750.97
439.8	1763.3
440.8	1775.64
441.8	1787.98
442.8	1800.32
443.8	1812.67
444.8	1825.01
445.8	1837.36
446.8	1849.72
447.8	1862.07
448.8	1874.43
449.8	1886.78
450.8	1899.15
451.8	1911.51
452.8	1923.87
453.8	1936.24
454.8	1948.61
455.8	1960.98
456.8	1973.35
457.8	1985.73
458.8	1998.11
459.8	2010.48
460.8	2022.86
461.8	2035.25
462.8	2047.63
463.8	2060.01
464.8	2072.4
465.8	2084.79
466.8	2097.18
467.8	2109.57
468.8	2121.96
469.8	2134.36
470.8	2146.75
471.8	2159.15
472.8	2171.54
473.8	2183.94
474.8	2196.34
475.8	2208.74
476.8	2221.15
477.8	2233.55
478.8	2245.95
479.8	2258.36
480.8	2270.76
481.8	2283.17
482.8	2295.58
483.8	2307.98
484.8	2320.39
485.8	2332.8
486.8	2345.21
487.8	2357.62
488.8	2370.03
489.8	2382.44
490.8	2394.85
491.8	2407.27
492.8	2419.68
493.8	2432.09
494.8	2444.5
495.8	2456.92
496.8	2469.33
497.8	2481.74
498.8	2494.16
499.8	2506.57
500.8	2518.98
501.8	2531.4
502.8	2543.81
503.8	2556.22
504.8	2568.63
505.8	2581.05
506.8	2593.46
507.8	2605.87
508.8	2618.28
509.8	2630.69
510.8	2643.11
511.8	2655.52
512.8	2667.93
513.8	2680.34
514.8	2692.74
515.8	2705.15
516.8	2717.56
517.8	2729.97
518.8	2742.37
519.8	2754.78
520.8	2767.18
521.8	2779.59
522.8	2791.99
523.8	2804.39
524.8	2816.79
525.8	2829.19
526.8	2841.59
527.8	2853.99
528.8	2866.39
529.8	2878.78
530.8	2891.18
531.8	2903.57
532.8	2915.96
533.8	2928.35
534.8	2940.74
535.8	2953.13
536.8	2965.52
537.8	2977.9
538.8	2990.28
539.8	3002.67
540.8	3015.05
541.8	3027.43
542.8	3039.8
543.8	3052.18
544.8	3064.55
545.8	3076.92
546.8	3089.29
547.8	3101.66
548.8	3114.03
549.8	3126.39
550.8	3138.76
551.8	3151.12
552.8	3163.48
553.8	3175.83
554.8	3188.19
555.8	3200.54
556.8	3212.89
557.8	3225.24
558.8	3237.59
559.8	3249.93
560.8	3262.27
561.8	3274.61
562.8	3286.95
563.8	3299.29
564.8	3311.62
565.8	3323.95
566.8	3336.28
567.8	3348.6
568.8	3360.92
569.8	3373.24
570.8	3385.56
571.8	3397.88
572.8	3410.19
573.8	3422.5
574.8	3434.81
575.8	3447.11
576.8	3459.41
577.8	3471.71
578.8	3484.01
579.8	3496.3
580.8	3508.59
581.8	3520.88
582.8	3533.16
583.8	3545.44
584.8	3557.72
585.8	3570
586.8	3582.27
587.8	3594.54
588.8	3606.81
589.8	3619.07
590.8	3631.33
591.8	3643.59
592.8	3655.84
593.8	3668.09
594.8	3680.34
595.8	3692.58
596.8	3704.83
597.8	3717.06
598.8	3729.3
599.8	3741.53
600.8	3753.76
601.8	3765.98
602.8	3778.2
603.8	3790.42
604.8	3802.63
605.8	3814.84
606.8	3827.05
607.8	3839.25
608.8	3851.45
609.8	3863.64
610.8	3875.84
611.8	3888.02
612.8	3900.21
613.8	3912.39
614.8	3924.57
615.8	3936.74
616.8	3948.91
617.8	3961.07
618.8	3973.24
619.8	3985.39
620.8	3997.55
621.8	4009.7
622.8	4021.85
623.8	4033.99
624.8	4046.13
625.8	4058.26
626.8	4070.39
627.8	4082.52
628.8	4094.64
629.8	4106.76
630.8	4118.87
631.8	4130.98
632.8	4143.09
633.8	4155.19
634.8	4167.29
635.8	4179.38
636.8	4191.47
637.8	4203.55
638.8	4215.63
639.8	4227.71
640.8	4239.78
641.8	4251.85
642.8	4263.91
643.8	4275.97
644.8	4288.03
645.8	4300.08
646.8	4312.13
647.8	4324.17
648.8	4336.2
649.8	4348.24
650.8	4360.26
651.8	4372.29
652.8	4384.31
653.8	4396.32
654.8	4408.33
655.8	4420.34
656.8	4432.34
657.8	4444.34
658.8	4456.33
659.8	4468.32
660.8	4480.3
661.8	4492.28
662.8	4504.25
663.8	4516.22
664.8	4528.18
665.8	4540.14
666.8	4552.1
667.8	4564.05
668.8	4575.99
669.8	4587.93
670.8	4599.87
671.8	4611.8
672.8	4623.72
673.8	4635.64
674.8	4647.56
675.8	4659.47
676.8	4671.38
677.8	4683.28
678.8	4695.18
679.8	4707.07
680.8	4718.96
681.8	4730.84
682.8	4742.72
683.8	4754.59
684.8	4766.45
685.8	4778.32
686.8	4790.17
687.8	4802.03
688.8	4813.87
689.8	4825.72
690.8	4837.55
691.8	4849.39
692.8	4861.21
693.8	4873.03
694.8	4884.85
695.8	4896.66
696.8	4908.47
697.8	4920.27
698.8	4932.07
699.8	4943.86
700.8	4955.65
701.8	4967.43
702.8	4979.2
703.8	4990.97
